"Tag","Value","Tag_Description"
"access","limited","Accessibility Status"
"access","locked","Accessibility Status"
"access","no","Accessibility Status"
"access","restricted","Accessibility Status"
"access","yes","Accessibility Status"
"addr:full","Text or number value","Address"
"admin_level","1","Administrative Division"
"admin_level","2","Administrative Division"
"admin_level","4","Administrative Division"
"admin_level","6","Administrative Division"
"admin_level","8","Administrative Division"
"admin_level","other","Administrative Division"
"advertising","billboard","Feature Code AG050"
"aero_route:type","both","Aeronautical Route Category"
"aero_route:type","high","Aeronautical Route Category"
"aero_route:type","low","Aeronautical Route Category"
"aeroway:aerodrome_symbol","abandoned_or_closed_(with_usable_runways_or_landing_areas)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_(with_less_than_the_minimum_facilities)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_civil_heliport","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_civil_heliport_(with_less_than_minimum_facilities)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_civilian","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_joint_(civilian/military)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_joint_(civilian/military)_heliport","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_military","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_military_heliport","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_military_heliport_(with_less_than_minimum_facilities)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","decoy","Airfield Symbol Type"
"aeroway:aerodrome_symbol","highway_strip","Airfield Symbol Type"
"aeroway:aerodrome_symbol","unusable_for_landing_or_take-off","Airfield Symbol Type"
"aeroway:airfield:type","airport/airfield","Airfield Type"
"aeroway:airfield:type","heliport","Airfield Type"
"aeroway:airfield:type","heliport_at_hospitals","Airfield Type"
"aeroway:airfield:type","major","Airfield Type"
"aeroway:airfield:type","minor","Airfield Type"
"aeroway:airfield:type","minor_and_hard","Airfield Type/Facility Priority Type"
"aeroway:airfield:type","minor_and_soft","Airfield Type/Facility Priority Type"
"aeroway:airfield:type","other","Airfield Type"
"aeroway:airfield:type","undefined_landing_area","Airfield Type"
"aeroway:airfield:type","unpopulated","Airfield Type"
"aeroway:light","air_force_overrun","Aeronautical Light Function"
"aeroway:light","airport_terminal_lights","Aeronautical Light Function"
"aeroway:light","alsf-i","Aeronautical Light Function"
"aeroway:light","alsf-ii","Aeronautical Light Function"
"aeroway:light","alternate_centreline_and_bar_approach_lights","Aeronautical Light Function"
"aeroway:light","apap_alignment","Aeronautical Light Function"
"aeroway:light","apron_flood","Aeronautical Light Function"
"aeroway:light","beacon","Aeronautical Light Function"
"aeroway:light","boundary","Aeronautical Light Function"
"aeroway:light","calvert","Aeronautical Light Function"
"aeroway:light","centre_and_double_row","Aeronautical Light Function"
"aeroway:light","centre_row","Aeronautical Light Function"
"aeroway:light","centre_row_category_1","Aeronautical Light Function"
"aeroway:light","centre_row_category_2","Aeronautical Light Function"
"aeroway:light","centreline_2_crossbars_approach_lights","Aeronautical Light Function"
"aeroway:light","centreline_and_bar","Aeronautical Light Function"
"aeroway:light","centreline_high_intensity_approach_lights","Aeronautical Light Function"
"aeroway:light","cross","Aeronautical Light Function"
"aeroway:light","flares","Aeronautical Light Function"
"aeroway:light","former_nato_standard","Aeronautical Light Function"
"aeroway:light","high_intensity_runway_lights","Aeronautical Light Function"
"aeroway:light","hong_kong_curve","Aeronautical Light Function"
"aeroway:light","identification_beacon","Aeronautical Light Function"
"aeroway:light","landing_direction_indicator","Aeronautical Light Function"
"aeroway:light","lcvasi","Aeronautical Light Function"
"aeroway:light","left_row_high_intensity","Aeronautical Light Function"
"aeroway:light","left_single_row","Aeronautical Light Function"
"aeroway:light","low_intensity_runway_lights","Aeronautical Light Function"
"aeroway:light","malsf","Aeronautical Light Function"
"aeroway:light","malsr","Aeronautical Light Function"
"aeroway:light","medium_intensity_runway_lights","Aeronautical Light Function"
"aeroway:light","narrow_multi_cross","Aeronautical Light Function"
"aeroway:light","nato_standard","Aeronautical Light Function"
"aeroway:light","navy_parallel_row_and_crossbar","Aeronautical Light Function"
"aeroway:light","neon_ladder","Aeronautical Light Function"
"aeroway:light","none_available","Aeronautical Light Function"
"aeroway:light","obstruction_lighting","Aeronautical Light Function"
"aeroway:light","omni_directional_approach_landing_system","Aeronautical Light Function"
"aeroway:light","optical_landing_system","Aeronautical Light Function"
"aeroway:light","other","Aeronautical Light Function"
"aeroway:light","other_airport_lighting","Aeronautical Light Function"
"aeroway:light","other_approach_lighting","Aeronautical Light Function"
"aeroway:light","overrun_centreline","Aeronautical Light Function"
"aeroway:light","portable_approach","Aeronautical Light Function"
"aeroway:light","portable_runway_lights","Aeronautical Light Function"
"aeroway:light","precision_approach_path_indicator","Aeronautical Light Function"
"aeroway:light","pvasi","Aeronautical Light Function"
"aeroway:light","rotating_beacon","Aeronautical Light Function"
"aeroway:light","runway_alignment_indicator_lights","Aeronautical Light Function"
"aeroway:light","runway_centreline","Aeronautical Light Function"
"aeroway:light","runway_edge","Aeronautical Light Function"
"aeroway:light","runway_end_identification_lighting","Aeronautical Light Function"
"aeroway:light","runway_flood","Aeronautical Light Function"
"aeroway:light","sequenced_strobe","Aeronautical Light Function"
"aeroway:light","singapore_centreline_approach_lights","Aeronautical Light Function"
"aeroway:light","single_row_centreline","Aeronautical Light Function"
"aeroway:light","ssalf","Aeronautical Light Function"
"aeroway:light","ssalr","Aeronautical Light Function"
"aeroway:light","strobe","Aeronautical Light Function"
"aeroway:light","t-vasi","Aeronautical Light Function"
"aeroway:light","taxiway_lighting","Aeronautical Light Function"
"aeroway:light","threshold","Aeronautical Light Function"
"aeroway:light","touchdown_zone","Aeronautical Light Function"
"aeroway:light","two_parallel_row","Aeronautical Light Function"
"aeroway:light","u.s._configuration_(b)","Aeronautical Light Function"
"aeroway:light","variable_intensity_runway_lights","Aeronautical Light Function"
"aeroway:light","vasi_with_threshold_indicator","Aeronautical Light Function"
"aeroway:light","visual_approach_slope_indicator","Aeronautical Light Function"
"aeroway:light","visual_approach_slope_indicator_3_bar","Aeronautical Light Function"
"aeroway:light","wind_indicator_lights","Aeronautical Light Function"
"aeroway:obstruction","Text or number value","Vertical Obstruction Identifier"
"aeroway:pavement:preparation","aggregate_seal_coat","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","graded","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","grass","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","grooved","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","oiled","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","other","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","porous_friction_course","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","rolled","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:preparation","rubberized_seal_coat","Aerodrome Pavement Information : Aerodrome Movement Area Surface Preparation Method"
"aeroway:pavement:status","fair","Aerodrome Pavement Functional"
"aeroway:pavement:status","good","Aerodrome Pavement Functional"
"aeroway:pavement:status","not_applicable","Aerodrome Pavement Functional"
"aeroway:pavement:status","poor","Aerodrome Pavement Functional"
"aeroway:pavement","completely_paved","Aerodrome Pavement Information : Aerodrome Movement Area Surface Category"
"aeroway:pavement","mostly_paved","Aerodrome Pavement Information : Aerodrome Movement Area Surface Category"
"aeroway:pavement","other","Aerodrome Pavement Information : Aerodrome Movement Area Surface Category"
"aeroway:pavement","partially_paved","Aerodrome Pavement Information : Aerodrome Movement Area Surface Category"
"aeroway:pavement","unpaved","Aerodrome Pavement Information : Aerodrome Movement Area Surface Category"
"aeroway:pavement","unprepared","Aerodrome Pavement Information : Aerodrome Movement Area Surface Category"
"aeroway:runway_designator_high","Text or number value","Runway Direction (high end) : Runway Designator (high)"
"aeroway:runway_designator_low","Text or number value","Runway Direction (low end) : Runway Designator (low)"
"aeroway:runway_highend:slope:closure","closed_interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:closure","greater-than-or-equal_to_less-than_interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:closure","greater-than_or_equal_semi-interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:closure","greater-than_semi-interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:closure","greater-than_to_less-than-or-equal_interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:closure","less-than_or_equal_semi-interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:closure","less-than_semi-interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:closure","open_interval","Runway Direction (high end) : Surface Slope (high) (interval closure)"
"aeroway:runway_highend:slope:high_lowervalue","Text or number value","Runway Direction (high end) : Surface Slope (high) (lower value)"
"aeroway:runway_highend:slope:high_uppervalue","Text or number value","Runway Direction (high end) : Surface Slope (high) (upper value)"
"aeroway:runway_highend:slope:low_lowervalue","Text or number value","Runway Direction (low end) : Surface Slope (low) (lower value)"
"aeroway:runway_highend:slope:low_uppervalue","Text or number value","Runway Direction (low end) : Surface Slope (low) (upper value)"
"aeroway:runway_lowend:slope:closure","closed_interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:runway_lowend:slope:closure","greater-than-or-equal_to_less-than_interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:runway_lowend:slope:closure","greater-than_or_equal_semi-interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:runway_lowend:slope:closure","greater-than_semi-interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:runway_lowend:slope:closure","greater-than_to_less-than-or-equal_interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:runway_lowend:slope:closure","less-than_or_equal_semi-interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:runway_lowend:slope:closure","less-than_semi-interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:runway_lowend:slope:closure","open_interval","Runway Direction (low end) : Surface Slope (low) (interval closure)"
"aeroway:surface:status","closed","Aerodrome Surface Status"
"aeroway:surface:status","open","Aerodrome Surface Status"
"aeroway:surface:status","parked_or_disabled_aircraft","Aerodrome Surface Status"
"aeroway:surface:status","work_in_progress","Aerodrome Surface Status"
"aeroway:surface","asphalt","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","asphalt_over_concrete","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","bituminous_mix","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","brick","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","clay","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","concrete","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","coral","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","earth","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","gravel","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","ice","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","landing_mat","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","laterite","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","macadam","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","membrane","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","non-bituminous_mix","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","other","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","pierced_steel_planking","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","sand","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","snow","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","stone","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","water","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway:surface","wood","Aerodrome Pavement Information : Aerodrome Movement Area Surface Composition"
"aeroway","aerodrome","Feature Code GB005"
"aeroway","apron","Feature Code GB015"
"aeroway","arresting_gear","Feature Code GB020"
"aeroway","helipad","Feature Code GB030"
"aeroway","heliport","Feature Code GB035"
"aeroway","runway","Feature Code GB055"
"aeroway","runway_endpoint","Feature Code GB056"
"aeroway","stopway","Feature Code GB045"
"aeroway","taxiway","Feature Code GB075"
"aeroway","terminal","Feature Function"
"aircraft:revetment","yes","Feature Code GB050"
"alt_name","Text or number value","Geographic Name Information : (second) Full Name"
"amenity","adult_entertainment","Feature Function"
"amenity","advertising","Feature Function"
"amenity","ambassadorial_residence","Building Function Category"
"amenity","animal_boarding","Commercial Facility Type"
"amenity","animal_shelter","Building Function Category"
"amenity","arts_centre","Feature Function"
"amenity","astronomical_station","Building Function Category"
"amenity","auditorium","Feature Function"
"amenity","bank","Feature Function"
"amenity","banquet_hall","Feature Function"
"amenity","bar","Feature Function"
"amenity","bus_station","Feature Function"
"amenity","car_rental","Feature Function"
"amenity","chancery","Government Facility Type"
"amenity","cinema","Feature Function"
"amenity","clinic","Public Service Facility Type"
"amenity","club","Feature Function"
"amenity","community_centre","Feature Function"
"amenity","consul","Feature Function"
"amenity","consulate","Building Function Category"
"amenity","convention_centre","Feature Function"
"amenity","correctional_institute","Corrections Facility Type"
"amenity","courthouse","Feature Function"
"amenity","cremation","Feature Function"
"amenity","custodial_service","Feature Function"
"amenity","customs","Feature Function"
"amenity","customs_house","Government Facility Type"
"amenity","day_care","Feature Function"
"amenity","death_care_services","Feature Function"
"amenity","dining_hall","Feature Function"
"amenity","diplomacy","Feature Function"
"amenity","diplomatic_building","Feature Function"
"amenity","diplomatic_mission","Feature Function"
"amenity","embassy","Feature Function"
"amenity","ferry_terminal","Feature Code AQ080"
"amenity","fire_and_police","Building Function Category"
"amenity","fire_station","Feature Function"
"amenity","forest_warden","Feature Function"
"amenity","fountain","Feature Code BH075"
"amenity","fuel","Building Function Category"
"amenity","fuel_storage","Feature Code AM075"
"amenity","government","Government Facility Type"
"amenity","government_administration_building","Feature Function"
"amenity","health_office","Public Service Facility Type"
"amenity","hunting","Feature Function"
"amenity","immigration_control","Feature Function"
"amenity","jail","Corrections Facility Type"
"amenity","judicial_activities","Feature Function"
"amenity","juvenile_corrections","Feature Function"
"amenity","landscaping_service","Feature Function"
"amenity","legation","Government Facility Type"
"amenity","legislative_building","Government Facility Type"
"amenity","library","Feature Function"
"amenity","marketplace","Feature Function"
"amenity","membership_organization","Feature Function"
"amenity","mission","Religious Facility Type"
"amenity","mortuary_services","Feature Function"
"amenity","motor_vehicle_station","Public Service Facility Type"
"amenity","municipal_hall","Government Facility Type"
"amenity","newspaper_plant","Feature Function"
"amenity","nightclub","Feature Function"
"amenity","parking","Commercial Facility Type"
"amenity","pharmacy","Feature Function"
"amenity","place_of_worship","Feature Function"
"amenity","police","Feature Function"
"amenity","post_office","Feature Function"
"amenity","prison","Feature Function"
"amenity","pub","Building Function Category"
"amenity","public_service","Public Service Facility Type"
"amenity","public_service_outbuilding","Public Service Facility Type"
"amenity","ranger_station","Building Function Category"
"amenity","reformatory","Building Function Category"
"amenity","reformitory","Corrections Facility Type"
"amenity","religion","Religious Facility Type"
"amenity","religious_activities","Feature Function"
"amenity","rescue","Building Function Category"
"amenity","rescue_and_paramedical_services","Feature Function"
"amenity","rescue_station","Public Service Facility Type"
"amenity","research_institute","Feature Function"
"amenity","restaraunt","Building Function Category"
"amenity","restaurant","Feature Function"
"amenity","sales_yard","Feature Function"
"amenity","sanatorium","Feature Function"
"amenity","sanitarium","Building Function Category"
"amenity","shipyard","Feature Function"
"amenity","stop","Feature Function"
"amenity","storage_of_human_remains","Feature Function"
"amenity","theatre","Feature Function"
"amenity","toilets","Feature Function"
"amenity","townhall","Feature Function"
"amenity","trading_post","Commercial Facility Type"
"amenity","transfer_hub","Feature Function"
"amenity","veterinary","Feature Function"
"amenity","waste_processing","Feature Code AB030"
"amenity","water_police","Public Service Facility Type"
"amenity","weigh_scale_(highway)","Building Function Category"
"amenity","weighbridge","Transportation Facility Type"
"angle","Text or number value","Angle of Orientation"
"annotation","yes","Feature Code ZD045"
"apron:type","cargo","Apron Type"
"apron:type","dispersal","Apron Type"
"apron:type","general_aviation","Apron Type"
"apron:type","holding","Apron Type"
"apron:type","military","Apron Type"
"apron:type","other","Apron Type"
"apron:type","passenger","Apron Type"
"apron:type","remote_parking","Apron Type"
"apron:type","services_and/or_hangar","Apron Type"
"aqueduct:type","other","Aqueduct Type"
"aqueduct:type","qanat","Aqueduct Type"
"aqueduct:type","surface","Aqueduct Type"
"aqueduct:type","underground","Aqueduct Type"
"aqueduct:type","underwater","Aqueduct Type"
"aquifer_name","Text or number value","Aquifer Name"
"arrangement","double","Linear Feature Arrangement"
"arrangement","juxtaposition","Linear Feature Arrangement"
"arrangement","multiple","Linear Feature Arrangement"
"arrangement","other","Linear Feature Arrangement"
"arrangement","single","Linear Feature Arrangement"
"artificial","no","Existence Category"
"artificial","yes","Existence Category"
"attached","no","Attached Building"
"attached","yes","Attached Building"
"attraction","artificial_mountain","Amusement Attraction Type"
"attraction","ferris_wheel","Amusement Attraction Type"
"attraction","other","Amusement Attraction Type"
"attraction","roller-coaster","Amusement Attraction Type"
"attraction","spherical","Amusement Attraction Type"
"attraction","vertical_ride","Amusement Attraction Type"
"attraction","water_attraction","Amusement Attraction Type"
"attribution","armyAustralia","Process Step Information : Resource Content Originator"
"attribution","armyGeoAgencyNetherlands","Process Step Information : Resource Content Originator"
"attribution","armyGeoInstitutePortugal","Process Step Information : Resource Content Originator"
"attribution","armyGeographicCentreSpain","Process Step Information : Resource Content Originator"
"attribution","bundeswehrGeoinfoOffice","Process Step Information : Resource Content Originator"
"attribution","defenceAcqLogOrgDenmark","Process Step Information : Resource Content Originator"
"attribution","defenceGeoCentreIntColGrp","Process Step Information : Resource Content Originator"
"attribution","defenceImageryGeoOrg","Process Step Information : Resource Content Originator"
"attribution","defenseInfoSecurityItaly","Process Step Information : Resource Content Originator"
"attribution","generalCommandMapping","Process Step Information : Resource Content Originator"
"attribution","geoInfoAgencyLatvia","Process Step Information : Resource Content Originator"
"attribution","geoIntelOrgNewZealand","Process Step Information : Resource Content Originator"
"attribution","geoServCzechArmedForces","Process Step Information : Resource Content Originator"
"attribution","geoServiceBelgium","Process Step Information : Resource Content Originator"
"attribution","hellenicMilitaryGeoServ","Process Step Information : Resource Content Originator"
"attribution","jointGeoBureauFrance","Process Step Information : Resource Content Originator"
"attribution","mapChartEstablishment","Process Step Information : Resource Content Originator"
"attribution","mappingServiceHungary","Process Step Information : Resource Content Originator"
"attribution","milGeoGroupEstonia","Process Step Information : Resource Content Originator"
"attribution","milGeoServiceNorway","Process Step Information : Resource Content Originator"
"attribution","milGeogDivisionPoland","Process Step Information : Resource Content Originator"
"attribution","milMapCentreLithuania","Process Step Information : Resource Content Originator"
"attribution","milTopoDirectRomania","Process Step Information : Resource Content Originator"
"attribution","milTopoServiceBulgaria","Process Step Information : Resource Content Originator"
"attribution","natArmyTopoServiceMoldova","Process Step Information : Resource Content Originator"
"attribution","other","Process Step Information : Resource Content Originator"
"attribution","swedishArmedForces","Process Step Information : Resource Content Originator"
"attribution","topoInstituteSlovakia","Process Step Information : Resource Content Originator"
"attribution","topoServiceFinland","Process Step Information : Resource Content Originator"
"attribution","usAfricaCommand","Process Step Information : Resource Content Originator"
"attribution","usAirForce","Process Step Information : Resource Content Originator"
"attribution","usArmy","Process Step Information : Resource Content Originator"
"attribution","usArmyGeospatialCenter","Agency that Supplied the Data"
"attribution","usCentralCommand","Process Step Information : Resource Content Originator"
"attribution","usCentralIntelAgency","Process Step Information : Resource Content Originator"
"attribution","usCoastGuard","Process Step Information : Resource Content Originator"
"attribution","usDefenseIntelAgency","Process Step Information : Resource Content Originator"
"attribution","usDeptOfEnergy","Process Step Information : Resource Content Originator"
"attribution","usDeptOfHomelandSecurity","Process Step Information : Resource Content Originator"
"attribution","usDeptOfState","Process Step Information : Resource Content Originator"
"attribution","usEuropeanCommand","Process Step Information : Resource Content Originator"
"attribution","usFedBurOfInvestigation","Process Step Information : Resource Content Originator"
"attribution","usGeologicalSurvey","Process Step Information : Resource Content Originator"
"attribution","usJointForcesCommand","Process Step Information : Resource Content Originator"
"attribution","usMarineCorps","Process Step Information : Resource Content Originator"
"attribution","usNatCivilAppsProgram","Process Step Information : Resource Content Originator"
"attribution","usNatOceanAtmosAdmin","Process Step Information : Resource Content Originator"
"attribution","usNationalGeoIntelAgency","Process Step Information : Resource Content Originator"
"attribution","usNationalReconnOffice","Process Step Information : Resource Content Originator"
"attribution","usNationalSecurityAgency","Process Step Information : Resource Content Originator"
"attribution","usNavy","Process Step Information : Resource Content Originator"
"attribution","usNorthernCommand","Process Step Information : Resource Content Originator"
"attribution","usPacificCommand","Process Step Information : Resource Content Originator"
"attribution","usSouthernCommand","Process Step Information : Resource Content Originator"
"attribution","usSpecialOperCommand","Process Step Information : Resource Content Originator"
"attribution","usStrategicCommand","Process Step Information : Resource Content Originator"
"attribution","usTransportationCommand","Process Step Information : Resource Content Originator"
"barrier:top","barbed_wire","Barrier Top Type"
"barrier:top","chain_link","Barrier Top Type"
"barrier:top","concertina_wire","Barrier Top Type"
"barrier:top","electrified_wire","Barrier Top Type"
"barrier:top","other","Barrier Top Type"
"barrier:top","spiked","Barrier Top Type"
"barrier","block","Feature Code AQ068"
"barrier","border_control","Gate Type Category/Gate Use"
"barrier","check_point","Feature Code AH070"
"barrier","crossing","Gate Type Category/Gate Use"
"barrier","entrance","Gate Type Category/Gate Use"
"barrier","fence","Feature Code AL070"
"barrier","gate","Feature Code AP040"
"barrier","other","Gate Type Category/Gate Use"
"barrier","toll_booth","Gate Type Category/Gate Use"
"barrier","wall","Feature Code AL260"
"barrier","yes","Feature Code AP041"
"be_number","Text or number value","Basic Encyclopedia Number"
"bog:type","atlantic_plateau","Bog Type"
"bog:type","basin","Bog Type"
"bog:type","blanket","Bog Type"
"bog:type","cranberry","Vegetation Characteristic"
"bog:type","domed","Bog Type"
"bog:type","fen","Bog Type"
"bog:type","flat","Bog Type"
"bog:type","horizontal_fen","Bog Type"
"bog:type","lowland_polygon","Bog Type"
"bog:type","northern_ribbed_fen","Bog Type"
"bog:type","other","Bog Type"
"bog:type","palsa","Bog Type"
"bog:type","peat","Vegetation Characteristic"
"bog:type","peat_plateau","Bog Type"
"bog:type","polygonal_peat_plateau","Bog Type"
"bog:type","shore_fen","Bog Type"
"bog:type","slope","Bog Type"
"bog:type","slope_fen","Bog Type"
"bog:type","string","Bog Type"
"bog:type","veneer","Bog Type"
"bridge:horizontal_clearance","Text or number value","Horizontal Clearance"
"bridge:length","Text or number value","Length/Diameter in Meters With Greater Precision"
"bridge:load_class1","Text or number value","Load Class Type 1"
"bridge:load_class2","Text or number value","Load Class Type 2"
"bridge:load_class3","Text or number value","Load Class Type 3"
"bridge:load_class4","Text or number value","Load Class Type 4"
"bridge:mobile_span","no","Mobile Bridge Span"
"bridge:mobile_span","unpopulated","Mobile Bridge Span"
"bridge:mobile_span","yes","Mobile Bridge Span"
"bridge:reference","Text or number value","Bridge Reference Number"
"bridge:roof","no","Roofed"
"bridge:roof","yes","Roofed"
"bridge:span_count","Text or number value","Span Count"
"bridge:span","yes","Feature Code AQ045"
"bridge:structure","arch","Bridge Structure Type"
"bridge:structure","arch_suspension","Bridge Structure Type"
"bridge:structure","bowstring","Bridge Structure Type"
"bridge:structure","cable_stayed","Bridge Structure Type"
"bridge:structure","cantilever","Bridge Structure Type"
"bridge:structure","closed_spandrel_arch","Bridge Structure Type"
"bridge:structure","covered","Bridge Structure Type"
"bridge:structure","deck","Bridge Structure Type"
"bridge:structure","fixed","Bridge Structure Type"
"bridge:structure","floating","Bridge Structure Type"
"bridge:structure","girder","Bridge Structure Type"
"bridge:structure","open_spandrel_arch","Bridge Structure Type"
"bridge:structure","other","Bridge Structure Type"
"bridge:structure","slab","Bridge Structure Type"
"bridge:structure","stringer_beam","Bridge Structure Type"
"bridge:structure","submersible","Bridge Structure Type"
"bridge:structure","suspension","Bridge Structure Type"
"bridge:structure","tower_suspension","Bridge Structure Type"
"bridge:structure","transporter","Bridge Structure Type"
"bridge:structure","trestle","Bridge Structure Type"
"bridge:structure","truss","Bridge Structure Type"
"bridge:structure","viaduct","Bridge Structure Type"
"bridge:superstructure","yes","Feature Code AQ050"
"bridge:under_clearance","Text or number value","Underbridge Clearance"
"bridge","aqueduct","Feature Code BH010"
"bridge","bascule","Bridge Opening Type"
"bridge","drawbridge","Bridge Opening Type"
"bridge","fixed","Bridge Opening Type"
"bridge","lift","Bridge Opening Type"
"bridge","opening","Bridge Opening Type"
"bridge","other","Bridge Opening Type"
"bridge","retractable","Bridge Opening Type"
"bridge","submersible","Bridge Opening Type"
"bridge","swing","Bridge Opening Type"
"bridge","yes","Bridge Opening Type"
"building:density","dense","Built-Up Area Classification/ Built-up Area Density Category"
"building:density","moderate","Built-Up Area Classification/ Built-up Area Density Category"
"building:density","sparse","Built-Up Area Classification/ Built-up Area Density Category"
"building:density","sparse_to_moderate","Built-Up Area Classification/ Built-up Area Density Category"
"building:levels","Text or number value","Floor Count"
"building:manufactured","no","Manufactured Building"
"building:manufactured","yes","Manufactured Building"
"building:multi_unit","no","Multi-unit Building"
"building:multi_unit","yes","Building Function Category"
"building:religious","other","House of Worship Type"
"building:religious","unknown","Religious Information : Religious Facility Type"
"building:roof_shape","conical","Roof Shape/Structure Shape of Roof"
"building:roof_shape","domed","Roof Shape/Structure Shape of Roof"
"building:roof_shape","flat","Roof Shape/Structure Shape of Roof"
"building:roof_shape","flat_with_clerestory","Roof Shape/Structure Shape of Roof"
"building:roof_shape","other","Roof Shape/Structure Shape of Roof"
"building:roof_shape","pitched","Roof Shape/Structure Shape of Roof"
"building:roof_shape","pitched_with_clerestory","Roof Shape/Structure Shape of Roof"
"building:roof_shape","sawtoothed","Roof Shape/Structure Shape of Roof"
"building:roof_shape","semi-cylindrical","Roof Shape/Structure Shape of Roof"
"building:roof_shape","with_clerestory","Roof Shape/Structure Shape of Roof"
"building:roof_shape","with_cupola","Roof Shape/Structure Shape of Roof"
"building:roof_shape","with_minaret","Roof Shape/Structure Shape of Roof"
"building:roof_shape","with_steeple","Roof Shape/Structure Shape of Roof"
"building:roof_shape","with_tower","Roof Shape/Structure Shape of Roof"
"building:roof_shape","with_turret","Roof Shape/Structure Shape of Roof"
"building:superstructure:type","chimney","Building Superstructure Type"
"building:superstructure:type","clerestory","Building Superstructure Type"
"building:superstructure:type","cupola","Building Superstructure Type"
"building:superstructure:type","dome","Building Superstructure Type"
"building:superstructure:type","elevator_machine_room","Building Superstructure Type"
"building:superstructure:type","hvac_equipment","Building Superstructure Type"
"building:superstructure:type","lightning_rod","Building Superstructure Type"
"building:superstructure:type","minaret","Building Superstructure Type"
"building:superstructure:type","monitor","Building Superstructure Type"
"building:superstructure:type","ornamental_element","Building Superstructure Type"
"building:superstructure:type","other","Building Superstructure Type"
